Question No,Title,Url,Difficulty,Tag
1,Two Sum,https://leetcode.com/problems/two-sum,Easy,"Array, Hash Table"
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers,Medium,"Linked List, Math, Recursion"
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,Medium,"Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays,Hard,"Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring,Medium,"String, Dynamic Programming"
6,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion,Medium,String
7,Reverse Integer,https://leetcode.com/problems/reverse-integer,Medium,Math
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi,Medium,String
9,Palindrome Number,https://leetcode.com/problems/palindrome-number,Easy,Math
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching,Hard,"String, Dynamic Programming, Recursion"
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water,Medium,"Array, Two Pointers, Greedy"
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman,Medium,"Hash Table, Math, String"
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer,Easy,"Hash Table, Math, String"
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix,Easy,String
15,3Sum,https://leetcode.com/problems/3sum,Medium,"Array, Two Pointers, Sorting"
16,3Sum Closest,https://leetcode.com/problems/3sum-closest,Medium,"Array, Two Pointers, Sorting"
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Medium,"Hash Table, String, Backtracking"
18,4Sum,https://leetcode.com/problems/4sum,Medium,"Array, Two Pointers, Sorting"
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Medium,"Linked List, Two Pointers"
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses,Easy,"String, Stack"
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists,Easy,"Linked List, Recursion"
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses,Medium,"String, Dynamic Programming, Backtracking"
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists,Hard,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs,Medium,"Linked List, Recursion"
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group,Hard,"Linked List, Recursion"
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Easy,"Array, Two Pointers"
27,Remove Element,https://leetcode.com/problems/remove-element,Easy,"Array, Two Pointers"
28,Implement strStr(),https://leetcode.com/problems/implement-strstr,Easy,"Two Pointers, String, String Matching"
29,Divide Two Integers,https://leetcode.com/problems/divide-two-integers,Medium,"Math, Bit Manipulation"
30,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words,Hard,"Hash Table, String, Sliding Window"
31,Next Permutation,https://leetcode.com/problems/next-permutation,Medium,"Array, Two Pointers"
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses,Hard,"String, Dynamic Programming, Stack"
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array,Medium,"Array, Binary Search"
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Medium,"Array, Binary Search"
35,Search Insert Position,https://leetcode.com/problems/search-insert-position,Easy,"Array, Binary Search"
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku,Medium,"Array, Hash Table, Matrix"
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver,Hard,"Array, Backtracking, Matrix"
38,Count and Say,https://leetcode.com/problems/count-and-say,Medium,String
39,Combination Sum,https://leetcode.com/problems/combination-sum,Medium,"Array, Backtracking"
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii,Medium,"Array, Backtracking"
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive,Hard,"Array, Hash Table"
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water,Hard,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
43,Multiply Strings,https://leetcode.com/problems/multiply-strings,Medium,"Math, String, Simulation"
44,Wildcard Matching,https://leetcode.com/problems/wildcard-matching,Hard,"String, Dynamic Programming, Greedy, Recursion"
45,Jump Game II,https://leetcode.com/problems/jump-game-ii,Medium,"Array, Dynamic Programming, Greedy"
46,Permutations,https://leetcode.com/problems/permutations,Medium,"Array, Backtracking"
47,Permutations II,https://leetcode.com/problems/permutations-ii,Medium,"Array, Backtracking"
48,Rotate Image,https://leetcode.com/problems/rotate-image,Medium,"Array, Math, Matrix"
49,Group Anagrams,https://leetcode.com/problems/group-anagrams,Medium,"Hash Table, String, Sorting"
50,"Pow(x, n)",https://leetcode.com/problems/powx-n,Medium,"Math, Recursion"
51,N-Queens,https://leetcode.com/problems/n-queens,Hard,"Array, Backtracking"
52,N-Queens II,https://leetcode.com/problems/n-queens-ii,Hard,Backtracking
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray,Easy,"Array, Divide and Conquer, Dynamic Programming"
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix,Medium,"Array, Matrix, Simulation"
55,Jump Game,https://leetcode.com/problems/jump-game,Medium,"Array, Dynamic Programming, Greedy"
56,Merge Intervals,https://leetcode.com/problems/merge-intervals,Medium,"Array, Sorting"
